Position Drafted,Team,Draft Year,Team PF,Team Yds,Team Ply,Team Y/P,Team TO,Team FL,Team 1stD,Team Cmp,Team Att,Team Yds,Team TD,Team Int,Team NY/A,Team 1stD,Team Att,Team Yds,Team TD,Team Y/A,Team 1stD,Team Pen,Team Yds,Team 1stPy,Team #Dr,Team Sc%,Team TO%,Team Start,Team Time,Team Plays,Team Yds,Team Pts,Opp. PF,Opp. Yds,Opp. Ply,Opp. Y/P,Opp. TO,Opp. FL,Opp. 1stD,Opp. Cmp,Opp. Att,Opp. Yds,Opp. TD,Opp. Int,Opp. NY/A,Opp. 1stD,Opp. Att,Opp. Yds,Opp. TD,Opp. Y/A,Opp. 1stD,Opp. Pen,Opp. Yds,Opp. 1stPy,Opp. #Dr,Opp. Sc%,Opp. TO%,Opp. Start,Opp. Time,Opp. Plays,Opp. Yds,Opp. Pts,Off. Rank PF,Off. Rank Yds,Off. Rank Ply,Off. Rank Y/P,Off. Rank TO,Off. Rank FL,Off. Rank 1stD,Off. Rank Cmp,Off. Rank Att,Off. Rank Yds,Off. Rank TD,Off. Rank Int,Off. Rank NY/A,Off. Rank 1stD,Off. Rank Att,Off. Rank Yds,Off. Rank TD,Off. Rank Y/A,Off. Rank 1stD,Off. Rank Pen,Off. Rank Yds,Off. Rank 1stPy,Off. Rank #Dr,Off. Rank Sc%,Off. Rank TO%,Off. Rank Start,Off. Rank Time,Off. Rank Plays,Off. Rank Yds,Off. Rank Pts,Def. Rank PF,Def. Rank Yds,Def. Rank Ply,Def. Rank Y/P,Def. Rank TO,Def. Rank FL,Def. Rank 1stD,Def. Rank Cmp,Def. Rank Att,Def. Rank Yds,Def. Rank TD,Def. Rank Int,Def. Rank NY/A,Def. Rank 1stD,Def. Rank Att,Def. Rank Yds,Def. Rank TD,Def. Rank Y/A,Def. Rank 1stD,Def. Rank Pen,Def. Rank Yds,Def. Rank 1stPy,Def. Rank #Dr,Def. Rank Sc%,Def. Rank TO%,Def. Rank Start,Def. Rank Time,Def. Rank Plays,Def. Rank Yds,Def. Rank Pts
RB,Buccaneers,2012,287,5108,966,5.3,40,16,277,365,588,3650,17,24,5.9,180,346,1458,9,4.2,74,123,1007,23,181,28.7,20.4,Own 27.0,2:34,5.49,28.0,1.44,494,6311,1002,6.3,24,10,356,301,481,3814,30,14,7.6,188,498,2497,26,5.0,135,95,786,33,184,42.9,13.0,Own 31.0,2:42,5.6,34.3,2.51,27,21,,,32,30,26,,7,16,26,29,22,,32,30,23,16,,,,,,23,1,23,14,16,18,26,32,30,,,17,14,29,,4,21,29,20,31,,28,32,32,31,,,,,,1,16,30,25,20,29,32
RB,Giants,2012,394,6161,1028,6.0,24,8,331,359,589,4734,29,16,7.7,216,411,1427,17,3.5,84,94,795,31,200,32.5,11.5,Own 26.4,2:22,5.26,30.7,1.90,400,6022,1072,5.6,31,11,338,361,589,4082,28,20,6.4,210,435,1940,15,4.5,103,110,933,25,196,34.7,14.8,Own 28.7,2:29,5.6,30.8,1.92,9,8,,,16,10,10,,6,5,6,19,4,,22,32,6,32,,,,,,16,20,27,26,26,13,11,25,27,,,5,7,26,,24,29,25,6,20,,16,19,23,23,,,,,,10,7,19,10,21,22,25
QB,Panthers,2011,196,4135,962,4.3,37,16,225,256,484,2289,9,21,4.3,125,428,1846,7,4.3,78,106,918,22,197,20.8,17.8,Own 28.7,2:14,5.03,20.7,0.95,408,5374,1060,5.1,29,12,328,326,526,3393,19,17,6.1,176,503,1981,20,3.9,121,90,765,31,196,35.2,14.3,Own 33.4,2:40,5.6,27.4,1.87,32,32,,,29,28,32,,26,32,32,25,32,,15,13,31,12,,,,,,32,4,26,31,31,32,32,26,18,,,11,10,26,,12,11,6,11,17,,28,23,31,10,,,,,,10,11,31,23,18,13,24
LB,Broncos,2011,344,5582,1018,5.5,27,15,309,334,580,4038,25,12,6.5,204,398,1544,13,3.9,81,98,944,24,196,30.6,11.7,Own 27.5,2:18,5.32,28.4,1.69,471,6253,1056,5.9,18,8,334,297,502,3780,26,10,7.2,184,531,2473,26,4.7,126,98,921,24,199,40.7,8.0,Own 32.1,2:34,5.5,31.4,2.27,19,13,,,16,27,14,,7,7,15,7,9,,27,26,12,24,,,,,,20,20,30,27,22,15,19,32,32,,,30,24,27,,5,25,24,30,30,,31,31,32,29,,,,,,1,32,27,15,16,27,30
DT,Bills,2011,283,4878,954,5.1,39,18,263,296,519,3158,24,21,5.7,166,401,1720,6,4.3,82,82,633,15,182,25.3,19.2,Own 29.2,2:31,5.36,26.8,1.42,425,5786,1071,5.4,22,11,335,294,473,3072,28,11,6.1,179,571,2714,18,4.8,138,85,634,18,191,39.3,10.5,Own 33.9,2:48,5.8,30.3,2.14,28,25,,,31,32,26,,19,24,17,25,29,,25,18,32,13,,,,,,29,2,20,20,21,22,26,28,24,,,25,13,28,,2,3,26,28,19,,32,32,27,32,,,,,,5,26,32,28,28,24,29
WR,Bengals,2011,322,5289,1046,5.1,34,14,317,365,590,3767,26,20,6.1,206,428,1522,8,3.6,85,90,725,26,190,30.5,16.3,Own 31.2,2:38,5.67,27.9,1.63,395,5312,957,5.6,26,10,290,326,514,3469,21,16,6.4,170,416,1843,15,4.4,97,95,776,23,182,35.2,13.2,Own 29.7,2:32,5.4,29.2,1.85,22,20,,,27,25,12,,5,13,11,23,16,,15,27,29,32,,,,,,21,7,7,13,13,19,21,24,15,,,17,17,12,,9,14,7,14,24,,13,19,24,21,,,,,,11,16,15,11,11,18,23
DB,Cardinals,2011,289,4309,931,4.6,35,16,241,285,561,2921,10,19,4.8,154,320,1388,9,4.3,67,108,870,20,190,23.7,15.8,Own 29.7,2:13,5.04,22.7,1.15,434,5977,1092,5.5,30,13,339,324,533,3654,22,17,6.5,178,526,2323,19,4.4,123,108,894,38,204,39.7,13.2,Own 32.3,2:40,5.6,29.2,2.00,26,31,,,28,28,31,,11,31,31,20,31,,32,32,24,11,,,,,,31,9,18,32,30,31,31,30,29,,,8,7,29,,16,23,9,11,26,,30,30,29,20,,,,,,4,15,28,23,20,19,27
WR,Falcons,2011,414,5458,1097,5.0,17,8,353,361,577,3567,28,9,5.9,200,497,1891,14,3.8,111,58,598,42,178,39.3,9.0,Own 31.1,2:57,6.34,30.7,2.12,288,5319,957,5.6,31,9,284,364,560,3625,23,22,6.1,183,366,1694,9,4.6,87,116,1003,14,180,26.1,16.1,Own 24.3,2:30,5.4,29.6,1.49,5,16,,,3,6,4,,8,15,8,4,19,,5,12,9,26,,,,,,6,30,8,1,1,12,6,5,16,,,7,20,10,,23,22,13,4,18,,2,10,8,27,,,,,,28,7,1,10,12,20,7
DE,49ers,2011,305,5013,945,5.3,23,8,251,282,500,3356,19,15,6.2,149,401,1657,10,4.1,85,112,933,17,190,26.8,11.1,Own 28.5,2:25,5.12,26.2,1.42,346,5244,1033,5.1,22,7,299,358,550,3697,25,15,6.3,188,447,1547,9,3.5,86,97,839,25,195,31.8,11.3,Own 30.0,2:35,5.5,26.9,1.65,24,24,,,11,6,30,,22,18,24,13,15,,25,19,21,17,,,,,,26,22,29,25,25,24,27,16,13,,,25,29,15,,22,24,21,17,22,,23,6,8,2,,,,,,15,23,19,16,13,7,14
QB,Titans,2011,356,4834,907,5.3,29,14,252,273,474,3107,24,15,6.2,155,406,1727,13,4.3,73,128,1040,24,184,33.2,14.7,Own 31.5,2:16,5.07,26.0,1.80,339,5883,1139,5.2,25,8,356,410,625,4032,23,17,6.1,214,474,1851,7,3.9,107,114,1039,35,183,37.7,13.1,Own 29.0,3:00,6.5,32.1,1.79,17,27,,,17,25,29,,30,25,17,13,14,,23,17,12,14,,,,,,14,14,5,28,28,27,14,15,26,,,20,24,32,,32,29,13,11,15,,26,20,4,7,,,,,,6,17,11,32,32,29,20
 T,Cowboys,2011,394,5828,1035,5.6,30,11,327,379,576,4042,29,19,6.7,201,428,1786,10,4.2,104,109,863,22,182,34.6,14.8,Own 28.8,2:46,5.86,31.8,1.90,436,5628,977,5.8,30,10,309,348,540,3894,33,20,6.8,200,402,1734,11,4.3,84,79,641,25,188,36.7,15.4,Own 29.7,2:28,5.3,29.8,2.04,7,7,,,20,17,9,,9,6,7,20,7,,15,16,21,15,,,,,,11,12,23,9,7,6,12,31,23,,,8,17,18,,20,26,31,7,28,,7,12,12,18,,,,,,8,8,15,8,8,21,28
QB,Jaguars,2011,353,5460,1019,5.4,33,12,330,291,469,3065,26,21,6.0,161,512,2395,14,4.7,148,83,675,21,177,35.0,16.9,Own 30.2,2:53,5.92,30.7,1.95,419,5949,948,6.3,18,5,316,329,506,4004,28,13,7.5,197,416,1945,19,4.7,98,85,748,21,174,40.2,9.8,Own 28.2,2:36,5.6,34.1,2.29,18,15,,,26,21,8,,31,27,11,25,17,,3,3,9,5,,,,,,9,5,13,4,6,11,9,27,28,,,30,31,22,,7,28,26,23,32,,13,22,29,30,,,,,,2,30,6,18,19,31,31
DE,Texans,2011,390,6186,1029,6.0,18,6,360,365,574,4144,24,12,6.8,222,423,2042,20,4.8,118,90,690,20,179,39.7,10.1,Own 25.6,2:38,5.92,34.5,2.17,427,6031,1010,6.0,18,5,352,354,547,4280,33,13,7.4,211,433,1751,16,4.0,113,105,851,28,174,40.2,10.3,Own 29.7,2:53,6.0,34.7,2.33,9,3,,,4,2,2,,10,4,17,7,6,,19,7,1,3,,,,,,5,25,32,13,5,2,4,29,30,,,30,31,31,,21,32,31,23,31,,18,13,26,11,,,,,,2,27,15,30,29,32,32
QB,Vikings,2011,281,5039,982,5.1,37,11,289,305,505,3097,14,26,5.7,159,441,1942,16,4.4,104,100,769,26,189,24.9,19.0,Own 30.2,2:34,5.29,26.4,1.38,348,5002,977,5.1,26,11,276,333,529,3367,25,15,6.0,178,417,1635,10,3.9,87,98,786,11,184,28.8,12.5,Own 29.8,2:36,5.4,27.2,1.63,29,23,,,29,17,23,,21,26,28,32,28,,12,10,7,9,,,,,,30,3,13,17,24,23,28,18,8,,,17,13,8,,14,9,21,17,13,,15,9,10,9,,,,,,24,20,18,18,10,10,13
DT,Lions,2011,362,5423,1064,5.1,25,9,304,383,633,3810,26,16,5.8,199,404,1613,11,4.0,83,136,1018,22,193,32.1,12.4,Own 29.3,2:28,5.67,28.1,1.73,369,5497,1005,5.5,29,15,320,330,518,3498,23,14,6.2,187,443,1999,18,4.5,98,106,854,35,192,31.3,13.5,Own 30.5,2:33,5.3,28.5,1.79,15,17,,,12,9,17,,3,12,11,16,26,,24,23,18,20,,,,,,18,18,19,23,14,17,18,19,21,,,11,4,24,,10,16,13,19,21,,19,24,27,24,,,,,,19,13,21,13,7,17,21
DE,Rams,2011,289,4846,1053,4.6,21,6,292,354,590,3268,18,15,5.2,179,429,1578,9,3.7,84,102,877,29,199,30.2,9.5,Own 30.9,2:30,5.49,24.3,1.45,328,5388,1017,5.3,26,12,304,328,570,3578,21,14,5.8,191,404,1810,7,4.5,88,126,1008,25,191,33.0,12.6,Own 28.4,2:27,5.5,28.1,1.58,26,26,,,8,2,22,,5,21,25,13,30,,14,25,24,31,,,,,,22,26,10,22,19,28,23,12,19,,,17,10,16,,24,19,7,19,9,,8,17,4,22,,,,,,13,19,8,6,17,15,10
 G,Dolphins,2011,273,5170,1040,5.0,31,10,300,335,557,3527,17,21,5.9,189,445,1643,8,3.7,91,72,595,20,185,29.7,15.7,Own 28.6,2:40,5.84,27.7,1.43,333,4949,988,5.0,19,8,264,288,502,3348,22,11,6.2,166,447,1601,8,3.6,84,85,730,14,181,31.5,9.9,Own 30.9,2:36,5.6,27.3,1.61,30,21,,,21,13,19,,13,16,27,25,21,,11,21,29,30,,,,,,23,10,27,10,8,20,24,14,6,,,29,24,3,,5,8,9,28,20,,23,7,7,4,,,,,,17,28,22,18,23,11,12
LB,Redskins,2011,302,5392,1002,5.4,31,12,295,349,605,3931,21,19,6.0,194,351,1461,9,4.2,72,90,647,29,205,26.3,14.6,Own 28.8,2:15,5.06,26.0,1.38,377,6228,1051,5.9,27,13,326,367,578,4187,23,14,6.9,207,444,2041,15,4.6,106,104,839,13,203,32.5,12.3,Own 31.0,2:36,5.4,30.7,1.72,25,18,,,21,21,20,,4,8,22,20,18,,31,30,24,16,,,,,,28,15,23,29,29,26,29,21,31,,,15,7,25,,25,31,13,19,29,,20,26,24,26,,,,,,14,22,24,18,9,26,17
 T,Patriots,2011,518,5820,986,5.9,10,5,335,331,507,3847,37,5,7.2,196,454,1973,19,4.3,119,83,766,20,166,47.0,5.4,Own 32.1,2:50,6.09,35.0,2.76,313,5864,1056,5.6,38,13,348,388,611,4136,25,25,6.4,226,409,1728,10,4.2,99,84,687,23,176,30.7,21.0,Own 28.2,2:51,6.1,33.2,1.72,1,8,,,1,1,6,,20,11,1,1,2,,10,9,2,10,,,,,,1,32,3,7,4,1,1,8,25,,,2,7,30,,31,30,21,1,23,,12,11,10,16,,,,,,21,1,6,29,31,30,16
DT,Chargers,2011,441,6329,1039,6.1,29,16,357,359,544,4519,30,13,7.8,236,457,1810,18,4.0,94,84,677,27,186,40.3,14.5,Own 28.6,2:51,5.76,33.9,2.24,322,4345,939,4.6,23,7,247,285,488,2845,18,16,5.3,153,404,1500,14,3.7,77,97,769,17,184,26.1,12.5,Own 32.5,2:20,5.2,23.7,1.48,2,1,,,17,28,3,,14,2,6,9,1,,9,15,4,22,,,,,,2,16,27,6,9,5,2,10,1,,,23,29,1,,3,1,5,14,1,,8,4,20,5,,,,,,29,20,29,4,4,2,5
DB,Giants,2011,394,6085,1035,5.9,42,17,331,339,539,3885,31,25,7.0,192,480,2200,17,4.6,112,92,777,27,207,32.4,20.3,Own 31.0,2:31,5.11,29.3,1.90,347,4990,974,5.1,39,23,263,308,539,3370,24,16,5.8,159,389,1620,11,4.2,88,107,899,16,202,28.7,18.3,Own 32.8,2:10,5.0,24.4,1.55,7,5,,,32,31,7,,17,10,4,31,4,,7,6,6,7,,,,,,16,1,9,20,26,13,11,17,7,,,1,1,2,,19,10,19,14,6,,5,8,12,13,,,,,,25,2,30,1,1,3,9
DE,Buccaneers,2011,341,5362,955,5.6,19,13,288,306,494,3361,26,6,6.4,172,431,2001,9,4.6,97,100,837,19,172,33.7,9.3,Own 28.9,2:52,5.72,31.2,1.83,318,5323,991,5.4,28,9,307,307,521,3216,23,19,5.9,171,444,2107,12,4.7,118,79,676,18,177,29.4,14.7,Own 29.3,2:40,5.7,30.0,1.67,20,19,,,6,24,24,,23,17,11,2,11,,13,8,24,6,,,,,,13,29,22,5,11,9,13,9,17,,,13,20,17,,11,7,13,8,11,,20,28,16,31,,,,,,22,10,13,23,25,23,15
DT,Browns,2011,271,4635,927,5.0,29,11,265,296,478,2989,13,18,5.8,154,413,1646,13,4.0,87,78,675,24,177,27.7,15.8,Own 29.8,2:34,5.40,26.1,1.42,332,5601,1041,5.4,28,9,317,309,507,3531,26,19,6.6,195,505,2070,7,4.1,102,85,741,20,176,34.1,15.3,Own 28.7,2:58,6.1,31.8,1.77,31,29,,,17,17,25,,28,29,30,19,24,,22,20,12,21,,,,,,25,8,15,17,20,25,25,13,22,,,13,20,23,,8,18,24,8,27,,29,27,4,12,,,,,,12,9,9,31,30,28,18
 T,Colts,2011,435,6092,1088,5.6,25,8,366,450,679,4609,33,17,6.6,253,393,1483,13,3.8,87,79,709,26,179,40.2,13.4,Own 27.5,2:40,6.23,34.0,2.23,388,5465,1010,5.4,21,11,314,356,535,3433,22,10,6.1,190,445,2032,14,4.6,111,95,812,13,181,37.0,10.5,Own 28.8,2:42,5.8,30.0,1.91,4,4,,,12,6,1,,1,1,2,18,8,,28,29,12,27,,,,,,3,17,30,10,3,4,3,23,20,,,28,13,21,,17,13,9,30,16,,22,25,20,25,,,,,,7,25,10,26,27,22,25
 G,Eagles,2011,439,6230,1038,6.0,25,12,322,348,561,3906,28,13,6.4,189,428,2324,18,5.4,116,129,1101,17,196,39.8,11.7,Own 31.6,2:33,5.49,31.8,2.13,377,5235,998,5.2,34,11,309,309,536,3469,31,23,6.0,185,423,1766,12,4.2,91,87,724,33,194,31.4,17.0,Own 27.7,2:22,5.3,26.9,1.83,3,2,,,12,21,10,,11,9,8,9,12,,15,5,4,1,,,,,,4,20,4,19,18,7,5,21,12,,,5,13,18,,18,14,29,3,14,,17,15,16,14,,,,,,18,5,4,5,6,8,22
DE,Saints,2011,384,5960,1067,5.6,31,9,351,450,661,4441,33,22,6.5,236,380,1519,9,4.0,94,90,884,21,174,38.5,16.7,Own 29.2,2:57,6.31,34.2,2.12,307,4900,948,5.2,25,16,273,306,494,3103,13,9,5.9,150,421,1797,13,4.3,94,88,701,29,173,31.8,12.7,Own 29.6,2:39,5.7,28.2,1.58,11,6,,,21,9,5,,2,3,2,30,10,,30,28,24,19,,,,,,7,6,20,1,2,3,7,7,4,,,20,3,7,,4,4,1,32,12,,16,16,18,17,,,,,,16,18,14,22,24,16,11
 T,Seahawks,2011,310,4765,964,4.9,31,11,260,324,544,3341,14,20,5.8,159,385,1424,13,3.7,81,101,890,20,196,26.5,14.8,Own 30.8,2:15,5.07,24.2,1.35,407,5897,1074,5.5,22,10,313,339,585,3994,31,12,6.4,206,452,1903,13,4.2,91,91,706,16,192,35.9,9.9,Own 31.2,2:42,5.8,30.6,1.99,23,28,,,21,17,28,,14,19,28,23,27,,29,31,12,29,,,,,,27,13,11,29,27,29,30,25,27,,,25,17,20,,28,27,29,25,25,,25,21,18,15,,,,,,9,29,25,26,26,25,26
WR,Chiefs,2011,366,5595,1063,5.3,14,6,319,274,475,2968,27,8,5.9,167,556,2627,13,4.7,129,90,771,23,192,31.3,6.8,Own 30.5,2:38,5.67,29.1,1.77,326,5283,1028,5.1,23,9,293,319,581,3519,23,14,5.7,186,408,1764,11,4.3,88,111,922,19,192,28.1,10.9,Own 26.8,2:27,5.5,27.4,1.55,14,12,,,2,2,11,,29,30,10,3,23,,1,1,12,4,,,,,,19,31,12,13,12,14,15,11,14,,,23,20,14,,26,17,13,19,5,,10,14,12,19,,,,,,26,24,2,6,14,14,8
DB,Ravens,2011,357,5166,1018,5.1,20,10,303,308,491,3335,25,10,6.3,175,487,1831,11,3.8,97,90,673,31,189,32.8,9.5,Own 29.8,2:39,5.54,27.2,1.75,270,5102,1007,5.1,27,8,284,349,596,3599,22,19,5.8,187,384,1503,5,3.9,79,117,984,18,185,29.2,13.5,Own 27.2,2:35,5.6,27.3,1.46,16,22,,,7,13,18,,24,20,15,6,13,,6,14,18,28,,,,,,15,27,15,12,17,21,17,3,10,,,15,24,10,,30,21,9,8,7,,3,5,1,8,,,,,,23,14,3,16,22,12,4
RB,Saints,2011,384,5960,1067,5.6,31,9,351,450,661,4441,33,22,6.5,236,380,1519,9,4.0,94,90,884,21,174,38.5,16.7,Own 29.2,2:57,6.31,34.2,2.12,307,4900,948,5.2,25,16,273,306,494,3103,13,9,5.9,150,421,1797,13,4.3,94,88,701,29,173,31.8,12.7,Own 29.6,2:39,5.7,28.2,1.58,11,6,,,21,9,5,,2,3,2,30,10,,30,28,24,19,,,,,,7,6,20,1,2,3,7,7,4,,,20,3,7,,4,4,1,32,12,,16,16,18,17,,,,,,16,18,14,22,24,16,11
 T,Bears,2011,334,4631,936,4.9,31,10,263,276,466,3015,23,21,5.8,163,414,1616,10,3.9,76,91,768,24,198,29.3,15.7,Own 33.7,2:23,4.88,23.4,1.55,286,5029,1002,5.0,35,14,282,363,582,3588,14,21,5.8,183,386,1441,14,3.7,88,93,790,11,196,25.0,17.9,Own 30.9,2:29,5.3,25.4,1.32,21,30,,,21,13,26,,32,28,20,25,25,,21,22,21,23,,,,,,24,11,1,26,32,30,22,4,9,,,3,5,9,,27,20,2,5,8,,4,2,20,6,,,,,,32,3,22,9,5,6,3
DT,Jets,2011,367,5616,1087,5.2,21,7,307,288,525,3242,20,14,5.9,171,534,2374,14,4.4,118,103,934,18,199,32.2,10.6,Own 32.8,2:37,5.66,28.2,1.65,304,4664,979,4.8,30,18,272,269,531,3210,24,12,5.6,169,408,1454,11,3.6,70,74,679,33,201,26.4,13.9,Own 28.1,2:16,5.0,22.9,1.49,13,11,,,8,5,15,,18,22,23,12,22,,2,4,9,8,,,,,,17,24,2,16,15,16,20,6,3,,,8,2,5,,15,6,19,25,4,,10,3,12,3,,,,,,27,12,5,2,3,1,6
DE,Steelers,2011,375,5525,993,5.6,18,9,295,298,479,3601,22,9,6.9,175,471,1924,15,4.1,106,100,903,14,179,36.9,9.5,Own 31.5,2:54,5.76,30.8,1.93,232,4429,974,4.5,35,14,272,363,593,3425,15,21,5.3,182,333,1004,5,3.0,61,86,716,29,179,25.7,17.3,Own 30.2,2:33,5.6,24.7,1.22,12,14,,,4,9,20,,27,14,21,4,5,,8,11,8,18,,,,,,8,28,5,3,10,10,10,1,2,,,3,5,5,,29,12,3,5,2,,1,1,1,1,,,,,,30,4,20,13,21,4,1
 T,Packers,2011,388,5730,1000,5.7,22,9,312,352,541,4124,31,13,7.1,204,421,1606,11,3.8,88,78,617,20,183,35.0,10.9,Own 29.8,2:48,5.62,31.3,1.97,240,4945,969,5.1,32,8,270,296,527,3107,16,24,5.4,163,395,1838,6,4.7,82,98,758,25,182,25.3,16.5,Own 29.1,2:32,5.5,27.0,1.24,10,9,,,10,9,13,,16,5,4,9,3,,20,24,18,25,,,,,,10,23,15,8,16,8,8,2,5,,,6,24,4,,13,5,4,2,3,,6,18,3,28,,,,,,31,6,12,11,15,9,2
QB,Rams,2010,175,4470,998,4.5,33,12,259,312,543,2686,12,21,4.6,159,411,1784,4,4.3,79,100,834,21,181,19.3,16.6,Own 28.1,2:35,5.65,24.6,0.93,436,5965,1016,5.9,20,12,333,315,491,3764,22,8,7.3,182,500,2201,24,4.4,127,80,613,24,184,35.3,10.3,Own 28.0,2:43,5.6,32.4,2.06,32,29,,,27,22,26,,16,28,29,28,31,,22,20,32,11,,,,,,32,5,27,16,16,25,32,31,29,,,29,13,31,,4,25,14,31,31,,27,27,31,20,,,,,,10,29,8,25,25,28,28
DT,Lions,2010,262,4784,1037,4.6,41,9,281,316,585,3168,16,32,5.0,168,409,1616,9,4.0,82,98,768,31,194,23.7,20.1,Own 27.7,2:23,5.49,24.6,1.23,494,6274,1029,6.1,23,14,332,371,545,4249,35,9,7.4,213,458,2025,18,4.4,95,113,944,24,192,43.8,10.4,Own 35.8,2:35,5.5,32.6,2.42,27,26,,,32,7,22,,6,21,24,32,28,,24,24,22,28,,,,,,28,1,29,26,20,26,28,32,32,,,24,4,30,,21,32,32,30,32,,22,25,26,21,,,,,,1,28,32,14,17,30,32
DT,Buccaneers,2010,244,4600,961,4.8,34,5,246,279,524,2973,18,29,5.3,148,404,1627,5,4.0,80,93,696,18,194,20.1,17.5,Own 30.4,2:22,5.09,23.6,1.08,400,5849,1039,5.6,29,10,324,301,482,3318,28,19,6.5,171,529,2531,16,4.8,129,80,731,24,190,36.8,14.2,Own 31.1,2:40,5.6,30.7,2.03,30,28,,,29,1,28,,22,24,21,31,26,,25,23,31,25,,,,,,31,2,12,27,28,29,30,27,27,,,10,17,29,,2,10,26,9,22,,29,32,21,32,,,,,,5,13,24,22,24,24,27
 T,Redskins,2010,266,5000,970,5.2,28,12,280,340,533,3490,21,16,6.0,191,391,1510,8,3.9,72,85,679,17,172,29.7,13.4,Own 28.7,2:42,5.78,28.9,1.56,336,5115,1000,5.1,17,6,280,314,511,3316,19,11,6.0,176,449,1799,10,4.0,85,98,763,19,178,33.7,9.6,Own 31.8,2:49,5.8,28.7,1.66,26,22,,,16,22,23,,20,16,16,16,16,,27,27,25,29,,,,,,20,18,21,14,8,17,23,18,10,,,32,29,7,,11,8,10,26,17,,20,16,7,10,,,,,,13,30,29,28,27,18,16
DB,Chiefs,2010,294,4851,1019,4.8,27,10,256,296,536,2922,18,17,5.0,139,438,1929,8,4.4,91,84,667,26,202,25.2,12.4,Own 28.5,2:13,5.19,23.7,1.27,424,6211,1062,5.8,28,13,318,302,509,3707,25,15,7.0,178,531,2504,18,4.7,122,106,821,18,201,35.8,13.4,Own 30.7,2:37,5.5,30.8,1.93,23,25,,,15,11,27,,18,25,21,17,29,,15,11,25,8,,,,,,27,23,22,32,26,28,27,29,30,,,12,6,26,,8,22,20,16,28,,30,31,26,31,,,,,,9,20,20,17,12,25,24
 T,Seahawks,2010,280,5069,1045,4.9,31,12,297,372,609,3503,20,19,5.4,184,395,1566,7,4.0,80,95,840,33,194,26.3,15.5,Own 28.4,2:16,5.52,25.8,1.35,390,5703,1024,5.6,23,10,305,374,568,3927,27,13,6.6,204,428,1776,17,4.1,80,111,971,21,196,33.7,10.7,Own 29.4,2:39,5.4,29.1,1.91,25,21,,,22,22,17,,1,15,20,23,24,,26,26,27,27,,,,,,26,9,24,31,19,23,25,25,24,,,24,17,18,,25,30,24,22,24,,15,15,24,13,,,,,,14,27,17,21,8,19,22
DB,Browns,2010,245,4163,971,4.3,31,13,237,219,443,2076,11,18,4.4,118,498,2087,10,4.2,102,77,678,17,189,23.3,16.4,Own 30.5,2:27,5.27,21.9,1.14,375,6229,1072,5.8,19,9,336,313,526,3915,22,10,6.9,189,506,2314,15,4.6,120,101,812,27,186,36.0,8.6,Own 28.6,2:45,6.0,33.5,1.88,29,32,,,22,26,30,,30,32,31,20,32,,6,8,20,15,,,,,,29,7,10,21,25,32,29,21,31,,,31,26,32,,15,29,14,29,26,,28,28,19,29,,,,,,8,31,11,27,28,31,21
LB,Raiders,2010,197,4258,944,4.5,33,15,234,255,485,2557,10,18,4.8,131,410,1701,7,4.1,81,117,920,22,194,22.2,16.5,Own 27.1,2:20,5.02,21.9,1.02,379,5791,1023,5.7,20,12,314,259,438,3303,16,8,7.0,158,548,2488,24,4.5,126,86,684,30,193,36.3,7.8,Own 30.7,2:38,5.5,30.1,1.92,31,31,,,27,28,31,,26,29,32,20,30,,23,21,27,19,,,,,,30,6,31,30,31,31,31,23,26,,,29,13,25,,1,7,6,31,27,,32,29,31,28,,,,,,7,32,20,18,15,22,23
RB,Bills,2010,258,4382,911,4.8,30,11,233,256,441,2515,17,19,5.2,126,424,1867,6,4.4,81,107,855,26,188,27.1,13.8,Own 30.3,2:24,5.02,23.3,1.30,326,5449,1086,5.0,33,5,310,295,519,2948,14,28,5.4,157,535,2501,19,4.7,134,107,919,19,192,28.6,16.7,Own 29.7,2:43,5.8,28.3,1.55,28,30,,,20,17,32,,31,30,23,23,27,,21,16,29,9,,,,,,25,15,13,24,30,30,26,16,19,,,5,32,22,,13,2,2,2,2,,31,30,28,30,,,,,,23,5,19,25,26,14,12
DE,Jaguars,2010,290,5385,1010,5.3,23,13,300,315,519,3356,15,10,6.0,170,447,2029,19,4.5,114,70,542,16,176,29.5,12.5,Own 28.5,2:46,5.90,30.6,1.66,380,5637,982,5.7,25,10,307,345,510,3774,28,15,7.2,191,458,1863,12,4.1,100,64,498,16,168,38.1,14.3,Own 29.3,2:52,6.0,33.6,2.10,24,18,,,7,26,16,,23,19,27,4,18,,12,10,6,6,,,,,,21,22,22,9,5,13,17,24,23,,,19,17,19,,9,27,26,16,30,,22,19,14,12,,,,,,4,11,16,30,30,32,30
 T,49ers,2010,330,4652,939,5.0,24,10,238,312,528,3052,23,14,5.4,137,371,1600,12,4.3,77,98,758,24,196,27.6,10.2,Own 29.1,2:26,4.91,23.8,1.54,281,5222,1050,5.0,33,15,278,352,580,3670,14,18,5.9,176,426,1552,12,3.6,77,114,969,25,206,26.7,15.5,Own 29.6,2:21,5.3,25.2,1.31,18,27,,,10,11,29,,21,22,15,12,25,,30,25,19,12,,,,,,24,28,19,23,32,27,24,4,15,,,5,1,6,,28,21,2,11,12,,14,6,14,3,,,,,,26,8,18,3,4,3,3
