Position Drafted,Team,Draft Year,Team PF,Team Yds,Team Ply,Team Y/P,Team TO,Team FL,Team 1stD,Team Cmp,Team Att,Team Yds,Team TD,Team Int,Team NY/A,Team 1stD,Team Att,Team Yds,Team TD,Team Y/A,Team 1stD,Team Pen,Team Yds,Team 1stPy,Team #Dr,Team Sc%,Team TO%,Team Start,Team Time,Team Plays,Team Yds,Team Pts,Opp. PF,Opp. Yds,Opp. Ply,Opp. Y/P,Opp. TO,Opp. FL,Opp. 1stD,Opp. Cmp,Opp. Att,Opp. Yds,Opp. TD,Opp. Int,Opp. NY/A,Opp. 1stD,Opp. Att,Opp. Yds,Opp. TD,Opp. Y/A,Opp. 1stD,Opp. Pen,Opp. Yds,Opp. 1stPy,Opp. #Dr,Opp. Sc%,Opp. TO%,Opp. Start,Opp. Time,Opp. Plays,Opp. Yds,Opp. Pts,Off. Rank PF,Off. Rank Yds,Off. Rank Ply,Off. Rank Y/P,Off. Rank TO,Off. Rank FL,Off. Rank 1stD,Off. Rank Cmp,Off. Rank Att,Off. Rank Yds,Off. Rank TD,Off. Rank Int,Off. Rank NY/A,Off. Rank 1stD,Off. Rank Att,Off. Rank Yds,Off. Rank TD,Off. Rank Y/A,Off. Rank 1stD,Off. Rank Pen,Off. Rank Yds,Off. Rank 1stPy,Off. Rank #Dr,Off. Rank Sc%,Off. Rank TO%,Off. Rank Start,Off. Rank Time,Off. Rank Plays,Off. Rank Yds,Off. Rank Pts,Def. Rank PF,Def. Rank Yds,Def. Rank Ply,Def. Rank Y/P,Def. Rank TO,Def. Rank FL,Def. Rank 1stD,Def. Rank Cmp,Def. Rank Att,Def. Rank Yds,Def. Rank TD,Def. Rank Int,Def. Rank NY/A,Def. Rank 1stD,Def. Rank Att,Def. Rank Yds,Def. Rank TD,Def. Rank Y/A,Def. Rank 1stD,Def. Rank Pen,Def. Rank Yds,Def. Rank 1stPy,Def. Rank #Dr,Def. Rank Sc%,Def. Rank TO%,Def. Rank Start,Def. Rank Time,Def. Rank Plays,Def. Rank Yds,Def. Rank Pts
WR,Eagles,2020,385,5772,1104,5.2,23,15,354,391,613,3833,27,8,5.9,215,454,1939,16,4.3,104,100,836,35,187,34.8,10.7,Own 28.5,2:50,6.04,30.7,1.96,354,5307,967,5.5,20,9,289,348,571,3865,27,11,6.3,185,353,1442,13,4.1,76,115,959,28,188,33.5,10.1,Own 28.9,2:19,5.3,28.1,1.86,12,14,,,19,31,4,,8,11,12,5,20,,7,11,13,19,,,,,,17,19,17,7,10,18,15,15,10,,,19,14,5,,21,19,21,22,16,,3,3,14,11,,,,,,24,19,19,1,2,7,13
WR,Vikings,2020,407,5656,970,5.8,20,12,314,319,466,3523,26,8,7.1,171,476,2133,19,4.5,106,96,895,37,173,41.6,10.4,Own 29.6,2:40,5.77,32.6,2.29,303,5465,1053,5.2,31,14,324,394,601,3737,23,17,5.8,215,404,1728,8,4.3,78,83,713,31,173,34.7,17.3,Own 28.3,2:53,6.3,31.6,1.76,8,16,,,13,26,20,,30,23,14,5,5,,4,6,6,12,,,,,,6,17,6,18,21,10,6,5,14,,,4,5,14,,28,15,13,3,7,,11,13,3,19,,,,,,21,3,15,27,30,16,7
LB,Chargers,2020,337,5879,997,5.9,31,11,349,394,597,4426,24,20,7.0,220,366,1453,12,4.0,90,103,872,39,160,38.8,18.1,Own 26.3,3:05,6.44,36.6,2.06,345,5009,923,5.4,14,3,285,328,464,3204,21,11,6.5,156,429,1805,15,4.2,101,108,959,28,161,36.6,8.7,Own 29.5,2:56,5.9,31.1,1.99,21,10,,,29,22,7,,10,6,17,29,8,,28,28,20,23,,,,,,8,2,31,2,3,4,11,14,6,,,32,31,3,,1,5,8,22,20,,21,18,21,15,,,,,,15,32,23,29,21,15,18
 C,Saints,2020,458,5982,1011,5.9,8,2,347,418,581,4244,36,6,7.0,230,405,1738,12,4.3,97,120,1036,20,173,46.2,4.0,Own 33.7,2:59,6.05,34.6,2.50,341,5329,999,5.3,23,10,311,371,603,3868,27,13,5.9,197,345,1461,12,4.2,71,92,713,43,174,35.1,12.6,Own 26.5,2:33,5.9,30.6,1.95,3,9,,,1,1,8,,13,7,2,3,9,,17,16,20,18,,,,,,3,32,2,4,9,7,3,13,11,,,10,10,12,,30,20,21,12,10,,2,4,9,17,,,,,,19,12,5,5,19,12,16
WR,49ers,2020,479,6097,1012,6.0,23,10,336,331,478,3792,28,13,7.4,195,498,2305,23,4.6,110,105,939,31,183,44.3,12.0,Own 32.1,2:46,5.74,33.1,2.44,310,4509,968,4.7,27,15,285,318,519,2707,23,12,4.8,150,401,1802,11,4.5,105,116,957,30,177,28.8,14.1,Own 28.5,2:37,5.6,25.4,1.63,2,4,,,19,19,14,,29,13,10,18,3,,2,2,1,9,,,,,,5,12,4,11,22,9,4,8,2,,,6,4,3,,6,1,13,17,1,,9,17,7,23,,,,,,30,6,16,9,6,2,4
QB,Packers,2020,376,5528,1020,5.4,13,9,320,356,573,3733,26,4,6.1,190,411,1795,18,4.4,90,100,774,40,177,37.3,6.8,Own 34.1,2:51,5.90,31.2,2.11,313,5642,998,5.7,25,8,310,326,546,3721,19,17,6.3,191,411,1921,15,4.7,99,97,968,20,178,34.3,14.0,Own 28.0,2:34,5.8,31.7,1.79,15,18,,,2,15,16,,16,17,14,1,16,,13,15,7,16,,,,,,12,31,1,7,15,15,10,9,18,,,7,21,11,,15,14,5,3,18,,14,23,21,24,,,,,,23,7,13,7,13,18,8
LB,Seahawks,2020,405,5991,1046,5.7,20,14,341,341,517,3791,31,6,6.7,190,481,2200,15,4.6,121,109,882,30,189,36.5,10.6,Own 30.2,2:40,5.68,31.6,2.07,398,6106,1014,6.0,32,16,346,383,598,4223,19,16,6.7,224,388,1883,22,4.9,97,96,798,25,179,36.9,16.2,Own 26.6,2:38,5.9,34.0,2.02,9,8,,,13,28,11,,23,14,4,3,12,,3,4,15,10,,,,,,13,23,5,16,24,13,12,22,26,,,3,2,26,,26,27,5,5,24,,7,22,30,28,,,,,,16,4,6,9,18,24,19
LB,Ravens,2020,531,6521,1064,6.1,15,7,386,289,440,3225,37,8,6.9,171,596,3296,21,5.5,188,109,867,27,166,51.8,8.4,Own 29.1,3:21,6.58,39.3,2.95,282,4809,921,5.2,25,12,276,318,544,3315,15,13,5.7,163,340,1494,12,4.4,74,97,795,39,166,32.5,14.5,Own 27.3,2:27,5.7,28.8,1.63,1,2,,,3,5,1,,32,27,1,5,10,,1,1,2,1,,,,,,1,27,9,1,1,2,1,3,4,,,7,6,2,,12,6,2,12,6,,1,5,9,21,,,,,,26,5,9,4,9,9,5
 T,Titans,2020,402,5805,949,6.1,17,9,317,297,448,3582,29,8,7.1,177,445,2223,21,5.0,104,99,932,36,185,31.4,8.6,Own 27.5,2:28,5.23,31.4,2.02,331,5752,1056,5.4,23,9,335,386,598,4080,25,14,6.4,213,415,1672,14,4.0,95,125,1025,27,189,31.7,11.6,Own 28.0,2:40,5.7,30.4,1.78,10,12,,,7,15,17,,31,21,8,5,7,,10,3,2,3,,,,,,24,28,25,28,29,14,13,12,21,,,10,14,20,,26,24,17,8,19,,16,12,17,7,,,,,,27,16,11,16,12,13,10
DB,Dolphins,2020,306,4960,1022,4.9,26,8,315,371,615,3804,22,18,5.7,210,349,1156,10,3.3,64,92,769,41,182,30.2,13.7,Own 27.7,2:32,5.78,27.1,1.61,494,6364,1053,6.0,16,3,361,344,545,4198,39,13,7.4,214,485,2166,15,4.5,113,111,1084,34,185,45.9,8.6,Own 30.5,2:44,5.9,34.2,2.55,25,27,,,25,11,18,,7,12,19,27,26,,32,32,24,31,,,,,,26,9,23,22,19,29,25,32,30,,,28,31,30,,14,26,32,12,32,,30,27,21,22,,,,,,1,28,27,20,20,26,32
